"","x"
"1",25.049299719888
"2",22.5032748538012
"3",23.138179800222
"4",24.1691721132898
"5",25.3665555555556
"6",26.602277904328
"7",27.0756284153005
"8",27.3077173913043
"9",26.8859201773836
"10",25.8070077864294
"11",24.0133918770582
"12",23.1629153269025
"13",25.2153203342618
"14",22.6639018691589
"15",23.3272123893805
"16",24.2463043478261
"17",25.4388704318937
"18",26.633371169126
"19",27.1130054644809
"20",27.3561479869423
"21",26.9313399778516
"22",25.8290465631929
"23",24.0356359649123
"24",23.1544871794872
"25",24.6935754189944
"26",22.4491822429907
"27",23.0868508287293
"28",24.0087145969499
"29",25.2413333333333
"30",26.4650739476678
"31",26.9424507658643
"32",27.1689467969598
"33",26.729092920354
"34",25.6583333333333
"35",23.8862788144896
"36",23.0224839400428
"37",24.1243421052632
"38",22.0785
"39",22.7159198113208
"40",23.8076124567474
"41",25.0872291904219
"42",26.4005868544601
"43",26.876976744186
"44",27.1431870669746
"45",26.6444575471698
"46",25.5583924349882
"47",23.6413068844807
"48",22.7514772727273
"49",24.7409638554217
"50",22.3382978723404
"51",23.0039237668161
"52",24.0245515695067
"53",25.3056064073227
"54",26.5257913247362
"55",27.0252252252252
"56",27.2657718120805
"57",26.8178082191781
"58",25.7080091533181
"59",23.8797740112994
"60",22.9395374449339
"61",24.971349862259
"62",22.5703488372093
"63",23.1370452039691
"64",24.1015167930661
"65",25.3334806629834
"66",26.5710734463277
"67",27.0406964091404
"68",27.2724324324324
"69",26.8208379272326
"70",25.7341436464088
"71",24.0076335877863
"72",23.1396166134185
"73",24.7388429752066
"74",22.4416279069767
"75",23.0095814977974
"76",24.053196099675
"77",25.2145856353591
"78",26.4595022624434
"79",26.9438520130577
"80",27.1876756756757
"81",26.7349503858875
"82",25.6565745856354
"83",23.8550218340611
"84",23.1043617021277
"85",24.5939890710383
"86",22.4098607888631
"87",23.0324175824176
"88",24.0309935205184
"89",25.2071585903084
"90",26.3832018038331
"91",26.8744034707158
"92",27.1077586206897
"93",26.6810989010989
"94",25.6068281938326
"95",23.8200217627856
"96",23.0173036093418
"97",24.4872463768116
"98",22.3404988123515
"99",22.992125984252
"100",23.9929281767956
"101",25.1791431792559
"102",26.4001154734411
"103",26.8732519422863
"104",27.106835722161
"105",26.6741282339708
"106",25.5851851851852
"107",23.7782894736842
"108",22.9290357529794
"109",24.9494011976048
"110",22.5027315914489
"111",23.1047991071429
"112",24.101677852349
"113",25.3737442922374
"114",26.606081871345
"115",27.103367003367
"116",27.3345982142857
"117",26.8677676537585
"118",25.7732876712329
"119",23.9886133032694
"120",22.9987912087912
"121",25.0434065934066
"122",22.6029036004646
"123",23.2057268722467
"124",24.2025974025974
"125",25.3962472406181
"126",26.6061016949153
"127",27.0386956521739
"128",27.286717062635
"129",26.8638766519824
"130",25.7416114790287
"131",24.0320610687023
"132",23.1075451647184
"133",24.6386740331492
"134",22.3451048951049
"135",23.0279249448124
"136",24.0255965292842
"137",25.2092920353982
"138",26.4211778029445
"139",26.912091503268
"140",27.1525862068966
"141",26.7158940397351
"142",25.6568584070796
"143",23.9370491803279
"144",22.9860341151386
"145",24.3715568862275
"146",22.2957882069795
"147",22.9240318906606
"148",23.8976510067114
"149",25.1318493150685
"150",26.3810526315789
"151",26.8685393258427
"152",27.1175223214286
"153",26.6564131668558
"154",25.5753318584071
"155",23.7312288613303
"156",22.8294505494505
"157",23.2187327823691
"158",21.9531395348837
"159",22.6138919514884
"160",23.4743228602384
"161",24.6257458563536
"162",25.8010180995475
"163",26.3450597176982
"164",26.5730810810811
"165",26.1232635060639
"166",25.0889502762431
"167",23.3199781659389
"168",22.65303514377
"169",24.9947945205479
"170",22.5655452436195
"171",23.1917491749175
"172",24.0968648648649
"173",25.3396912899669
"174",26.5729119638826
"175",27.0270358306189
"176",27.2559870550162
"177",26.8170517051705
"178",25.7871003307608
"179",23.9981481481481
"180",23.1165781083953
"181",24.6679452054795
"182",22.4047619047619
"183",23.0194719471947
"184",24.0327567567568
"185",25.2211453744493
"186",26.4453724604966
"187",26.9259500542888
"188",27.1511326860841
"189",26.7141914191419
"190",25.6437706725469
"191",23.9497821350763
"192",22.9814027630181
"193",24.9430939226519
"194",22.5353899883586
"195",23.2869757174393
"196",24.1028169014084
"197",25.353642384106
"198",26.5565118912797
"199",27.0476034858388
"200",27.2812770562771
"201",26.8167770419426
"202",25.7253318584071
"203",23.9463387978142
"204",23.036460554371
"205",24.8306849315068
"206",22.4415313225058
"207",23.1273927392739
"208",24.0751351351351
"209",25.2898566703418
"210",26.5124153498871
"211",26.9608034744843
"212",27.195145631068
"213",26.7737073707371
"214",25.7098125689085
"215",23.9849673202614
"216",23.0768331562168
"217",25.6077134986226
"218",22.8883720930233
"219",23.393605292172
"220",24.3247020585049
"221",25.5963535911602
"222",26.82092760181
"223",27.2729053318825
"224",27.5137297297297
"225",27.0640573318633
"226",25.9953591160221
"227",24.1557860262009
"228",23.265568544102
"229",23.8022421524664
"230",21.7765432098765
"231",22.4890038809832
"232",23.63583227446
"233",25.076
"234",26.5298429319372
"235",27.1131350681537
"236",27.3861386138614
"237",26.8554002541296
"238",25.590243902439
"239",23.4760617760618
"240",22.4012422360248
